Date,Time,avg(temp),avg(humidity),max(pir),max(nearPir),min(ch1),max(ch1),min(ch2),max(ch2),min(als),max(als),min(tp0),max(tp0),min(tp1),max(tp1),min(tp2),max(tp2),min(tp3),max(tp3)
2020-03-02,04:30,21.27,39.46,28.00,,,,,,0.00,0.00,,,,,,,,
2020-03-02,04:45,21.09,39.36,19.00,,,,,,0.00,0.00,,,,,,,,
2020-03-02,05:00,21.04,39.27,27.00,,,,,,0.00,0.00,,,,,,,,
2020-03-02,05:15,20.92,39.27,41.00,,,,,,0.00,0.00,,,,,,,,
2020-03-02,05:30,20.82,39.25,26.00,,,,,,0.00,0.00,,,,,,,,
2020-03-02,05:45,21.12,37.61,24.00,,,,,,0.00,0.00,,,,,,,,
2020-03-02,06:00,21.43,37.23,33.00,,,,,,0.00,0.00,,,,,,,,
2020-03-02,06:15,21.23,37.69,,,,,,,,,,,,,,,,
2020-03-02,06:30,21.06,38.07,33.00,,,,,,0.00,0.00,,,,,,,,
2020-03-02,06:45,,,,,,,,,,,,,,,,,,
2020-03-02,07:00,20.88,38.13,26.00,,,,,,0.00,0.00,,,,,,,,
2020-03-02,07:15,21.24,36.82,28.00,,,,,,0.00,0.00,,,,,,,,
2020-03-02,07:30,21.20,37.10,27.00,,,,,,0.00,0.00,,,,,,,,
2020-03-02,07:45,,,,,,,,,,,,,,,,,,
2020-03-02,08:00,20.90,37.48,24.00,,,,,,0.00,0.00,,,,,,,,
2020-03-02,08:15,21.11,36.62,24.00,,,,,,0.00,0.00,,,,,,,,
2020-03-02,08:30,21.24,36.53,23.00,,,,,,0.00,0.00,,,,,,,,
2020-03-02,08:45,,,,,,,,,,,,,,,,,,
2020-03-02,09:00,20.93,36.91,22.00,,,,,,0.00,0.00,,,,,,,,
2020-03-02,09:15,,,,,,,,,,,,,,,,,,
2020-03-02,09:30,20.78,36.73,27.00,,,,,,0.00,0.00,,,,,,,,
2020-03-02,09:45,21.16,35.69,26.00,,,,,,0.00,0.00,,,,,,,,
2020-03-02,10:00,21.12,36.03,20.00,,,,,,0.00,0.00,,,,,,,,
2020-03-02,10:15,20.83,36.37,20.00,,,,,,0.00,0.00,,,,,,,,
2020-03-02,10:30,20.91,36.09,29.00,,,,,,0.00,0.00,,,,,,,,
2020-03-02,10:45,21.20,35.63,24.00,,,,,,0.00,0.00,,,,,,,,
2020-03-02,11:00,20.97,35.96,27.00,,,,,,0.00,0.00,,,,,,,,
2020-03-02,11:15,20.83,36.00,24.00,,,,,,0.00,0.00,,,,,,,,
2020-03-02,11:30,21.04,35.46,27.00,,,,,,0.00,0.00,,,,,,,,
2020-03-02,11:45,21.22,35.52,35.00,,,,,,0.00,0.00,,,,,,,,
2020-03-02,12:00,20.99,35.93,29.00,,,,,,0.00,1.00,,,,,,,,
2020-03-02,12:15,20.87,36.06,22.00,,,,,,1.00,1.00,,,,,,,,
2020-03-02,12:30,21.01,35.68,26.00,,,,,,1.00,2.00,,,,,,,,
2020-03-02,12:45,21.28,35.62,30.00,,,,,,1.00,2.00,,,,,,,,
2020-03-02,13:00,21.12,36.10,27.00,,,,,,2.00,2.00,,,,,,,,
2020-03-02,13:15,,,,,,,,,,,,,,,,,,
2020-03-02,13:30,21.15,37.15,543.00,,,,,,2.00,8.00,,,,,,,,
2020-03-02,13:45,21.67,35.71,335.00,,,,,,4.00,12.00,,,,,,,,
2020-03-02,14:00,22.06,35.42,295.00,,,,,,4.00,11.00,,,,,,,,
2020-03-02,14:15,22.18,37.37,331.00,,,,,,4.00,8.00,,,,,,,,
2020-03-02,14:30,22.14,40.93,339.00,,,,,,6.00,9.00,,,,,,,,
2020-03-02,14:45,,,,,,,,,,,,,,,,,,
2020-03-02,15:00,22.11,42.14,324.00,,,,,,5.00,9.00,,,,,,,,
2020-03-02,15:15,22.59,38.21,366.00,,,,,,6.00,7.00,,,,,,,,
2020-03-02,15:30,22.98,38.25,330.00,,,,,,6.00,8.00,,,,,,,,
2020-03-02,15:45,22.86,40.57,28.00,,,,,,7.00,8.00,,,,,,,,
2020-03-02,16:00,22.88,40.70,316.00,,,,,,7.00,8.00,,,,,,,,
2020-03-02,16:15,22.97,39.89,284.00,,,,,,7.00,8.00,,,,,,,,
2020-03-02,16:30,23.01,40.86,292.00,,,,,,7.00,8.00,,,,,,,,
2020-03-02,16:45,22.95,41.58,23.00,,,,,,7.00,7.00,,,,,,,,
2020-03-02,17:00,22.93,41.47,28.00,,,,,,6.00,7.00,,,,,,,,
2020-03-02,17:15,,,,,,,,,,,,,,,,,,
2020-03-02,17:30,22.94,41.40,314.00,,,,,,6.00,8.00,,,,,,,,
2020-03-02,17:45,22.96,41.32,311.00,,,,,,5.00,6.00,,,,,,,,
2020-03-02,18:00,22.91,41.46,279.00,,,,,,5.00,6.00,,,,,,,,
2020-03-02,18:15,,,,,,,,,,,,,,,,,,
2020-03-02,18:30,22.88,41.38,295.00,,,,,,4.00,7.00,,,,,,,,
2020-03-02,18:45,22.85,41.04,27.00,,,,,,5.00,5.00,,,,,,,,
2020-03-02,19:00,22.81,40.99,283.00,,,,,,5.00,6.00,,,,,,,,
2020-03-02,19:15,22.77,40.41,32.00,,,,,,5.00,5.00,,,,,,,,
2020-03-02,19:30,22.83,41.04,349.00,,,,,,3.00,6.00,,,,,,,,
2020-03-02,19:45,22.81,40.69,183.00,,,,,,4.00,6.00,,,,,,,,
2020-03-02,20:00,,,,,,,,,,,,,,,,,,
2020-03-02,20:15,22.71,40.15,27.00,,,,,,3.00,5.00,,,,,,,,
2020-03-02,20:30,22.67,39.99,94.00,,,,,,2.00,7.00,,,,,,,,
2020-03-02,20:45,,,,,,,,,,,,,,,,,,
2020-03-02,21:00,22.74,40.54,385.00,,,,,,2.00,4.00,,,,,,,,
2020-03-02,21:15,22.75,40.34,206.00,,,,,,2.00,2.00,,,,,,,,
2020-03-02,21:30,22.82,41.45,452.00,,,,,,1.00,3.00,,,,,,,,
2020-03-02,21:45,22.91,42.34,366.00,,,,,,2.00,2.00,,,,,,,,
2020-03-02,22:00,22.90,42.68,513.00,,,,,,1.00,2.00,,,,,,,,
2020-03-02,22:15,22.91,43.08,423.00,,,,,,1.00,2.00,,,,,,,,
2020-03-02,22:30,22.91,42.46,26.00,,,,,,1.00,2.00,,,,,,,,
2020-03-02,22:45,22.87,43.05,520.00,,,,,,1.00,2.00,,,,,,,,
2020-03-02,23:00,22.84,43.57,26.00,,,,,,2.00,2.00,,,,,,,,
2020-03-02,23:15,22.81,44.11,24.00,,,,,,2.00,2.00,,,,,,,,
2020-03-02,23:30,22.77,43.89,328.00,,,,,,2.00,4.00,,,,,,,,
2020-03-02,23:45,22.83,43.40,29.00,,,,,,2.00,2.00,,,,,,,,
2020-03-03,00:00,22.88,43.37,327.00,,,,,,2.00,2.00,,,,,,,,
2020-03-03,00:15,22.95,42.89,394.00,,,,,,1.00,4.00,,,,,,,,
2020-03-03,00:30,23.05,45.14,302.00,,,,,,2.00,3.00,,,,,,,,
2020-03-03,00:45,23.07,46.09,365.00,,,,,,2.00,2.00,,,,,,,,
2020-03-03,01:00,,,,,,,,,,,,,,,,,,
2020-03-03,01:15,23.09,47.10,446.00,,,,,,2.00,4.00,,,,,,,,
2020-03-03,01:30,23.06,47.18,294.00,,,,,,2.00,2.00,,,,,,,,
2020-03-03,01:45,23.07,47.03,228.00,,,,,,2.00,2.00,,,,,,,,
2020-03-03,02:00,23.04,46.72,336.00,,,,,,2.00,2.00,,,,,,,,
2020-03-03,02:15,23.05,46.67,387.00,,,,,,2.00,4.00,,,,,,,,
2020-03-03,02:30,23.08,46.80,355.00,,,,,,2.00,2.00,,,,,,,,
2020-03-03,02:45,23.01,46.05,24.00,,,,,,2.00,2.00,,,,,,,,
2020-03-03,03:00,23.00,45.82,30.00,,,,,,2.00,2.00,,,,,,,,
2020-03-03,03:15,22.98,45.62,21.00,,,,,,2.00,2.00,,,,,,,,
2020-03-03,03:30,22.94,45.64,330.00,,,,,,0.00,2.00,,,,,,,,
2020-03-03,03:45,22.90,45.49,24.00,,,,,,0.00,0.00,,,,,,,,
2020-03-03,04:00,22.88,45.40,26.00,,,,,,0.00,0.00,,,,,,,,
2020-03-03,04:15,22.85,45.20,269.00,,,,,,0.00,0.00,,,,,,,,
2020-03-03,04:30,22.80,44.99,25.00,,,,,,0.00,0.00,,,,,,,,
2020-03-03,04:45,22.74,44.93,26.00,,,,,,0.00,0.00,,,,,,,,
2020-03-03,05:00,,,,,,,,,,,,,,,,,,
2020-03-03,05:15,22.69,44.86,24.00,,,,,,0.00,0.00,,,,,,,,
2020-03-03,05:30,22.61,45.08,26.00,,,,,,0.00,0.00,,,,,,,,
2020-03-03,05:45,22.56,45.25,27.00,,,,,,0.00,0.00,,,,,,,,
2020-03-03,06:00,,,,,,,,,,,,,,,,,,
2020-03-03,06:15,22.54,45.23,36.00,,,,,,0.00,0.00,,,,,,,,
2020-03-03,06:30,22.49,45.07,24.00,,,,,,0.00,0.00,,,,,,,,
2020-03-03,06:45,22.43,45.15,30.00,,,,,,0.00,0.00,,,,,,,,
